plantNamedocketNumber,licenseNumber,reactorType,location,OwnerOperator,NRCRegion
River Bend 105000458,NPF-47,BWR,"24 miles NNW of Baton Rouge,  LA","Entergy Nuclear Operations, Inc.",4
Robinson 205000261,DPR-23,PWR,"26 miles NW of Florence,  SC","Duke Energy Progress, LLC ",2
Saint Lucie 105000335,DPR-67,PWR,"10 miles SE of Ft. Pierce,  FL",Florida Power & Light Co. ,2
Saint Lucie 205000389,NPF-16,PWR,"10 miles SE of Ft. Pierce,  FL",Florida Power & Light Co. ,2
Salem 105000272,DPR-70,PWR,"18 miles S of Wilmington,  DE","PSEG Nuclear, LLC",1
Salem 205000311,DPR-75,PWR,"18 miles S of Wilmington,  DE","PSEG Nuclear, LLC",1
Seabrook 105000443,NPF-86,PWR,"13 miles S of Portsmouth,  NH","NextEra Energy Seabrook, LLC",1
Sequoyah 105000327,DPR-77,PWR,"16 miles NE of Chattanooga,  TN",Tennessee Valley Authority ,2
Sequoyah 205000328,DPR-79,PWR,"16 miles NE of Chattanooga,  TN",Tennessee Valley Authority ,2
Shearon Harris 105000400,NPF-63,PWR,"20 miles SW of Raleigh,  NC","Duke Energy Progress, LLC",2
South Texas 105000498,NPF-76,PWR,"90 miles SW of Houston, TX",STP Nuclear Operating Co. ,4
South Texas 205000499,NPF-80,PWR,"90 miles SW of Houston, TX",STP Nuclear Operating Co. ,4
Summer05000395,NPF-12,PWR,"26 miles NW of Columbia,  SC",South Carolina Electric & Gas Co. ,2
Surry 105000280,DPR-32,PWR,"17 miles NW of Newport News,  VA",Dominion Generation,2
Surry 205000281,DPR-37,PWR,"17 miles NW of Newport News,  VA",Dominion Generation,2
Susquehanna 105000387,NPF-14,BWR,"70 miles NE of Harrisburg,  PA","Susquehanna Nuclear,  LLC",1
Susquehanna 205000388,NPF-22,BWR,"70 miles NE of Harrisburg,  PA","Susquehanna Nuclear,  LLC",1
Turkey Point 305000250,DPR-31,PWR,"20 miles S of Miami,  FL",Florida Power & Light Co. ,2
Turkey Point 405000251,DPR-41,PWR,"20 miles S of Miami,  FL",Florida Power & Light Co. ,2
Vogtle 105000424,NPF-68,PWR,"26 miles SE of Augusta,  GA",Southern Nuclear Operating Co.,2
Vogtle 205000425,NPF-81,PWR,"26 miles SE of Augusta,  GA",Southern Nuclear Operating Co.,2
Waterford 305000382,NPF-38,PWR,"25 miles W of New Orleans,  LA","Entergy Nuclear Operations, Inc.",4
Watts Bar 105000390,NPF-90,PWR,"60 miles SW of Knoxville,  TN",Tennessee Valley Authority ,2
Watts Bar 205000391,NPF-96,PWR,"60 miles SW of Knoxville,  TN",Tennessee Valley Authority ,2
Wolf Creek 105000482,NPF-42,PWR,"3.5 miles NE of Burlington,  KS",Wolf Creek Nuclear Operating Corp. ,4
